customer_id,name,email,country,created_at,quality_flag
CUST-0001,Allison Hill,donaldgarcia@example.net,Uganda,2025-10-18 00:44:23,valid
CUST-0002,Javier Johnson,jesseguzman@example.net,Congo,2026-03-29 09:26:58,valid
CUST-0003,Jennifer Cole,lisa02@example.net,Jamaica,2024-12-03 09:27:37,valid
CUST-0004,Daniel Gallagher,daviscolin@example.com,Netherlands,2024-08-07 18:03:15,valid
CUST-0005,Monica Herrera,smiller@example.net,Niger,2025-01-05 14:43:57,valid
CUST-0006,Michele Williams,kendragalloway@example.org,Tonga,2023-11-27 17:36:28,valid
CUST-0008,Lisa Jackson,frankgray@example.net,Portugal,2025-11-05 00:35:35,valid
CUST-0009,Frederick Tate,perezantonio@example.com,Iran,2024-08-12 18:06:18,valid
CUST-0010,Thomas Bradley,jason76@example.net,Kuwait,2024-01-31 18:38:26,valid
CUST-0011,David Hoffman,julie69@example.com,Guyana,2024-05-29 12:52:19,valid
CUST-0012,Brenda Snyder PhD,hernandezernest@example.net,Jamaica,2026-01-05 07:44:31,valid
CUST-0013,James Ferrell,tasha01@example.net,Turks and Caicos Islands,2025-10-04 23:42:23,valid
CUST-0014,Patricia Peterson,ryan70@example.net,Turkey,2024-08-05 23:51:25,valid
CUST-0015,Pamela Romero,harrellkenneth@example.net,Madagascar,2026-01-24 20:03:24,valid
CUST-0016,James Martin,georgetracy@example.org,Vanuatu,2025-01-07 16:54:19,valid
CUST-0017,Sandra Parker,allenashley@example.org,Belize,2025-07-17 19:02:21,valid
CUST-0018,Vanessa Patel,davidalvarez@example.net,Chad,2024-08-08 14:01:44,valid
CUST-0019,Lisa Brandt,jenniferross@example.net,Pakistan,2025-01-23 22:07:37,valid
CUST-0020,Joseph Martinez,calebsmith@example.net,Denmark,2025-12-23 22:38:21,valid
CUST-0021,Benjamin Welch,carlosjohnson@example.com,Barbados,2025-08-30 13:07:52,valid
CUST-0022,Michael Lewis,jenniferkhan@example.net,Lebanon,2024-07-05 07:35:43,valid
CUST-0023,Rhonda Lee,hopkinsmichael@example.com,Lao People's Democratic Republic,2023-09-15 23:38:59,valid
CUST-0024,Victoria Garcia,zchandler@example.org,Egypt,2024-04-16 10:59:50,valid
CUST-0025,Jerry Henderson,steven17@example.net,Bolivia,2023-09-10 10:04:16,valid
CUST-0026,Kimberly Smith,housemelinda@example.org,Ireland,2025-07-17 06:00:54,valid
CUST-0027,Dr. Steven Martin,gallowayjoseph@example.com,France,2025-04-10 22:51:49,valid
CUST-0028,Monica Logan,smoore@example.org,Azerbaijan,2025-12-09 13:24:28,valid
CUST-0029,Amy Edwards,silvawesley@example.net,Cayman Islands,2023-09-20 04:37:33,valid
CUST-0030,Angela Lopez,leonardjoe@example.org,Western Sahara,2025-11-24 19:02:25,valid
CUST-0031,Kristopher Harvey,ksandoval@example.net,Germany,2024-08-01 22:03:05,valid
CUST-0032,Mike Allen,panderson@example.com,Kuwait,2024-10-26 23:56:30,valid
CUST-0033,Taylor Smith,jonesjason@example.com,Bulgaria,2024-12-16 23:59:38,valid
CUST-0034,Sherry Wood,samueldaniels@example.com,New Zealand,2026-04-04 18:00:21,valid
CUST-0035,Mary Spencer,mcmillandennis@example.org,Tuvalu,2023-12-07 02:35:31,valid
CUST-0036,Brittney Campbell,jenniferharris@example.net,Timor-Leste,2024-08-06 22:02:05,valid
CUST-0037,Danielle Odonnell,davisrodney@example.com,Aruba,2023-06-29 08:11:40,valid
CUST-0038,Carlos Whitney,joycearnold@example.com,Monaco,2023-07-08 20:30:51,valid
CUST-0039,Tony Vazquez,amydavenport@example.net,Micronesia,2024-02-08 21:20:17,valid
CUST-0040,Andrew Diaz,nolanjason@example.org,Papua New Guinea,2023-11-30 12:25:32,valid
CUST-0041,Justin Baxter,sarayoung@example.org,South Georgia and the South Sandwich Islands,2024-03-24 20:59:32,valid
CUST-0042,Allison Doyle,kimberly63@example.com,Cayman Islands,2026-06-17 05:32:51,valid
CUST-0043,Shane Garrison,jamessellers@example.com,Gambia,2024-06-11 09:22:35,valid
CUST-0044,Matthew Ross,michelle45@example.net,Malawi,2025-03-05 17:05:30,valid
CUST-0045,Sarah Rivera,wilsontara@example.org,Mozambique,2024-08-09 05:18:18,valid
CUST-0046,Kyle Reed,samuel81@example.com,United Arab Emirates,2025-12-05 12:45:43,valid
CUST-0047,Andrew Graham,michaeljones@example.net,Uruguay,2024-11-17 18:45:04,valid
CUST-0048,Mary Martinez,william65@example.com,Qatar,2024-09-25 02:49:35,valid
CUST-0049,Cheryl Ortega,lbyrd@example.net,Montenegro,2024-10-03 08:13:34,valid
CUST-0051,Michael Dixon,donnacampbell@example.net,North Macedonia,2026-02-09 19:43:04,valid
CUST-0052,Robert Potter,jeffrey32@example.org,Aruba,2024-07-08 04:23:35,valid
CUST-0053,Miss Patricia Gibson,jennifercruz@example.com,Ecuador,2024-02-08 01:51:36,valid
CUST-0054,Abigail Potter,osbornejeffery@example.net,Maldives,2025-06-14 11:40:36,valid
CUST-0055,David Charles,danderson@example.net,Marshall Islands,2025-11-08 02:14:48,valid
CUST-0056,Tiffany Vance,jrivas@example.com,Ukraine,2024-02-26 01:50:18,valid
CUST-0057,Karen Green,maryramirez@example.net,Libyan Arab Jamahiriya,2026-02-21 10:52:37,valid
CUST-0058,Jeremiah Reeves,josephflores@example.net,Belgium,2024-01-24 18:57:38,valid
CUST-0059,James Hernandez,calebrussell@example.net,Lao People's Democratic Republic,2025-03-30 17:11:19,valid
CUST-0060,Ross Price,gateskathy@example.com,Lesotho,2023-07-02 23:49:24,valid
CUST-0061,Elizabeth Price,vmedina@example.net,South Georgia and the South Sandwich Islands,2026-01-15 22:53:17,valid
CUST-0062,Katherine Nelson,vjohnson@example.net,Philippines,2025-03-12 22:01:10,valid
CUST-0063,Sara Calhoun,meadowsbrittany@example.net,Anguilla,2023-11-01 05:47:23,valid
CUST-0064,Brandy Murray,greenmark@example.com,Greece,2024-11-29 02:56:02,valid
CUST-0065,Jamie Walton,fking@example.com,Andorra,2025-10-08 19:00:05,valid
CUST-0066,Trevor Walker,harringtondenise@example.org,Zambia,2024-07-11 23:23:29,valid
CUST-0067,Alex Hernandez,thomaswilson@example.org,Lao People's Democratic Republic,2026-06-14 09:56:45,valid
CUST-0068,Jacob Obrien,stricklandfrank@example.com,Botswana,2025-12-08 18:55:56,valid
CUST-0069,Eric Byrd,tsanders@example.org,Belarus,2025-12-29 15:00:35,valid
CUST-0070,Lori Garcia,melissa91@example.net,Slovenia,2023-08-26 15:10:11,valid
CUST-0071,Jeffrey Wood,alexander67@example.org,Jersey,2025-01-06 11:21:01,valid
CUST-0072,Sandra Zimmerman,hthompson@example.net,Faroe Islands,2026-02-04 14:52:42,valid
CUST-0073,Kimberly Webb,lpetersen@example.com,Gibraltar,2024-07-09 04:43:29,valid
CUST-0074,Angelica Keith,karenhudson@example.net,Hong Kong,2024-11-27 09:46:36,valid
CUST-0075,Samuel White,michaelgreen@example.com,Turkmenistan,2026-01-04 22:16:16,valid
CUST-0076,Desiree Smith,christophercortez@example.com,Moldova,2024-07-01 03:55:38,valid
CUST-0077,Maria Henry,davisjeffrey@example.net,Ecuador,2024-10-11 12:11:23,valid
CUST-0078,Jackie Tran,ronald85@example.com,Reunion,2025-05-28 16:51:04,valid
CUST-0079,David Martinez,leslienewton@example.net,Colombia,2024-04-16 09:10:00,valid
CUST-0080,John Hardy,tina34@example.org,Guyana,2024-03-28 14:04:02,valid
CUST-0081,Michael Martinez,mccannangela@example.net,Western Sahara,2024-01-06 00:02:32,valid
CUST-0082,Nicole Garcia,andrewstaylor@example.com,Guam,2024-04-05 05:34:38,valid
CUST-0083,Dawn Hensley,shortrichard@example.org,Morocco,2026-02-25 15:26:18,valid
CUST-0084,Brittany Shepherd,christopher31@example.net,Serbia,2025-03-31 08:05:37,valid
CUST-0085,Rachel Perez,chayes@example.com,Tokelau,2025-12-24 01:48:32,valid
CUST-0086,Elizabeth Oliver DDS,mezajared@example.org,Estonia,2026-04-14 18:32:50,valid
CUST-0087,David Arnold,aaronhayes@example.net,Latvia,2024-09-18 06:56:06,valid
CUST-0088,Dwayne Campbell,ojones@example.com,Solomon Islands,2026-02-18 19:51:11,valid
CUST-0089,Regina Gonzalez,stephensdeborah@example.com,Sweden,2024-01-30 18:57:17,valid
CUST-0090,Christopher Parker,scott74@example.net,Iraq,2024-08-19 18:04:31,valid
CUST-0091,Katherine Miller,prestonjessica@example.net,El Salvador,2023-08-03 00:18:53,valid
CUST-0092,Vernon Huff,keyemily@example.com,Morocco,2023-08-25 07:56:49,valid
CUST-0093,Casey Stone,lmoon@example.net,Jordan,2026-03-05 22:29:28,valid
CUST-0094,Tracy Harrison,qcook@example.org,Togo,2024-02-28 15:59:12,valid
CUST-0095,Michael Roberts,jcervantes@example.org,Korea,2023-11-07 15:06:31,valid
CUST-0096,Frank Cordova,ahancock@example.net,Trinidad and Tobago,2025-10-13 17:21:25,valid
CUST-0097,Anthony Stone,wgarrett@example.org,Costa Rica,2024-08-11 16:34:47,valid
CUST-0098,Tanya Kim,omartinez@example.net,South Georgia and the South Sandwich Islands,2024-06-29 13:39:27,valid
CUST-0099,Emily Smith,hdavis@example.com,Yemen,2023-12-23 07:27:25,valid
CUST-0100,Brittany Cantu,william46@example.com,Latvia,2024-07-06 10:56:54,valid
CUST-0101,Charles Lee,michellehill@example.com,Guam,2025-08-20 13:50:03,valid
CUST-0102,Aaron Barber,cgrimes@example.net,Liberia,2024-12-10 23:09:17,valid
CUST-0103,Phillip Bennett,molly39@example.com,Djibouti,2025-03-22 22:48:26,valid
CUST-0104,Patrick Thornton,qhughes@example.net,Canada,2025-08-01 07:11:31,valid
CUST-0106,Charles Pitts,charlesharrington@example.com,Guadeloupe,2026-02-16 00:47:46,valid
CUST-0107,Marie Christian,ofinley@example.net,Tuvalu,2025-07-20 20:00:08,valid
CUST-0108,Amanda Jones,wendy16@example.org,Senegal,2026-03-04 07:49:59,valid
CUST-0110,Charles Schmidt,georgemiller@example.com,Niger,2026-05-20 01:06:17,valid
CUST-0111,Thomas Thomas,dlittle@example.com,Papua New Guinea,2023-07-08 10:21:47,valid
